Date,INTU_PC1,INTU_PC2,INTU_PC3,INTU_PC4,INTU_PC5,INTU_PC6,INTU_PC7,INTU_PC8,INTU_PC9,INTU_PC10,INTU_PC11,INTU_PC12,INTU_PC13,INTU_PC14,INTU_PC15,INTU_PC16,INTU_EXCESS_RETURN
2019-01-04,-1.2361565270919632,5.336410098652875,1.7068380567590897,0.2115557592824576,0.9964907834097838,1.4969045902246059,-0.6090475666370005,-0.4823112745174817,0.7558830010349176,0.19907358193743208,0.19153415125730838,-1.1337374719896844,-0.1879892585638576,-0.623842248805428,0.07937848285715153,0.12762251600434382,0.0082446673543704
2019-01-07,-1.9789138780137185,5.049850225310362,0.849440460126487,-0.48414835806987583,1.8005679652577173,0.4912641684047668,-1.3020345931020583,-0.343141260461186,1.0388595720762155,0.17622649901945056,-0.019772567509465787,-0.7332370260275447,0.1722974386080665,-0.21665251916617673,0.3436236237852561,-0.13075577525740642,0.0142757575308785
2019-01-08,-1.8550952148337532,4.657682810267311,2.734113579185084,-0.0875976270878991,0.9272334360709987,-0.2616850642284219,-0.8616941230436569,-0.5538508293446816,-0.3083021387821161,0.6087068164277828,0.4132657211098196,-0.6636129192610131,0.024710608785830618,-0.6077149827536726,0.565574407158546,-0.21068301844029602,-0.0094965343925849
2019-01-09,-1.803294828560449,4.749767548973145,1.9444859919488862,0.35602303020361187,0.9540896712171306,-1.3939217870018275,-1.212877839447419,0.19674274978868503,1.0239439087296514,1.2870366404047229,0.29600785564725124,-0.8582355240028712,0.29771481888437273,-0.3159083006749469,0.7450009409808724,-0.31993922545982384,0.0122584225004275
2019-01-10,-2.7421365934180235,4.103047522113563,2.375735257527012,-0.19484269140807486,0.3814417607550908,-0.15378639754118859,-1.6900626269186079,-0.44839965691925965,0.28777081913447167,0.30718057512768504,0.5683207657635331,-0.8558809953463961,0.8886860729901999,0.16324367026124909,-0.24084624431711205,-0.06507063827863555,0.0005831089567829
2019-01-11,-2.9364639052465504,4.079542797882325,1.3778101794279463,0.39590988848685066,0.15252576373623855,-0.28659675052665373,-1.8919234995648295,-0.5805955966779539,0.22442525608455355,0.29006323725413746,0.7068581528603759,-0.9361071618218112,0.47978478641707956,0.09401213478206738,-0.10511813650603485,0.06997744002594267,0.0004067260325337
2019-01-14,-3.4353165373699714,4.085403236066309,0.47197610944921464,-0.12235284319561472,0.8371631584292054,-0.28065975707918395,-2.145474165552681,-0.47103864380471333,0.9255018709189371,0.3527899381065493,0.41510840665098675,-0.5698252682400233,0.1572500580502961,0.12130387879488459,0.16835503987148387,-0.1284588586335237,0.0119933747653458
2019-01-15,-3.3701123146527006,3.780160142532727,2.099989150110895,0.0982786735599593,-0.0761816998149511,0.051552894053492365,-0.7824757827705722,-0.20938476319443522,0.004775573911781784,0.24241345986916554,0.09314371775478997,-0.746039596816643,-0.3802571107553464,0.09444162282123783,0.17575425796569089,0.6995145696489932,-0.0013640477541021
2019-01-16,-3.772319997717691,3.57068673018689,1.2950574318964765,-0.03094720983504183,0.11425301563330159,-0.6440906756878582,-1.227691963363517,-0.008899577253530218,-0.06802558488077065,-0.1988313756790879,-0.031900433716693835,-0.6768657847619487,-0.23205661656941934,0.2502424612144768,0.19738958257238,0.5409143777345298,0.0006946559362152
2019-01-17,-4.399943755049281,3.176394649265464,1.2520841269869492,-0.6636677398539321,0.21842930202742006,-0.5266011995975012,-1.2743895723427319,-0.23008237458519692,-0.28163014264249897,-0.18761669503575762,-0.041492047938861076,-0.8754463204945444,-0.6360818267280269,0.687378076600769,0.7462004766035887,0.1833490334199592,-0.0030758408383067
2019-01-18,-4.130172874218761,3.0045755831097885,1.7823902921633143,0.288746927783824,-0.8401112467735409,-0.3932015619061553,-1.0216729722358784,0.3309207064846167,0.28441601757001495,-0.3382370856340777,-0.09729262851211873,-1.1046767516876734,-0.5049934500392178,0.534793622050235,0.08422040427365823,0.181172442152946,0.0070034054937702
2019-01-22,-3.832527686645982,3.219800838090735,1.4734423265299346,0.7507664205957212,-0.7535849604429891,-1.2318012622075443,-0.7947114860114408,0.15366073850681883,-0.21670459546122456,0.4451411683162496,0.11972978445293857,-0.8196253710385641,-0.6899769517908809,0.6519197265881984,-0.21676946378716894,0.06111135101289732,-0.0026738369746787
